site,year,block,plot,pd,pd_fac,rate,seedling_n,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sp1,sp2,sp3,rye_g,weed_g,RCI_weeds,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_om,rate.adj
BARC,2022,1,101,10/4/2021,1,0,0,VERPG,LAMAM,VICVI,64.96,VICVI,CAPBP,dock,0,107.3,0,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,1,102,10/4/2021,1,15,13,LAMAM,VICVI,STEME,69.04,VICVI,ANTCO,na,154.6,55.1,-0.486486486,1327.16,2138.35,13.901,6.58,63,2.38,15
BARC,2022,1,103,10/4/2021,1,30,21,LAMAM,STEME,VICVI,83.18,VICVI,VIOAR,na,278.1,24,-0.776328052,1327.16,2138.35,13.901,6.58,63,2.38,30
BARC,2022,1,104,10/4/2021,1,60,39,VERPG,LAMAM,VICVI,73.92,VICVI,ANTCO,VIOAR,186.5,20.8,-0.806150979,1327.16,2138.35,13.901,6.58,63,2.38,60
BARC,2022,1,105,10/4/2021,1,90,55,VERPG,LAMAM,VICVI,64.23,VICVI,ANTCO,dock,176.4,13.1,-0.877912395,1327.16,2138.35,13.901,6.58,63,2.38,90
BARC,2022,1,106,10/4/2021,1,120,74,VIOAR,VERPG,LAMAM,47.3,VICVI,ANTCO,VIOAR,151.6,34.9,-0.674743709,1327.16,2138.35,13.901,6.58,63,2.38,120
BARC,2022,1,107,10/21/2021,2,0,0,LAMAM,VERPG,CAPBP,45.63,CAPBP,VICVI,VIOAR,0,58.4,0,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,1,108,10/21/2021,2,120,113,VICVI,VERPG,LAMAM,75.65,VICVI,VERPG,VIOAR,170.8,26.2,-0.551369863,880.43,1691.62,25.0335,6.53,56,2.38,120
BARC,2022,1,109,10/21/2021,2,60,57,VICVI,LAMAM,VERPG,69.96,VICVI,VERPG,VIOAR,124.1,16.8,-0.712328767,880.43,1691.62,25.0335,6.53,56,2.38,60
BARC,2022,1,110,10/21/2021,2,90,93,VICVI,LAMAM,STEME,83.27,VICVI,ANTCO,VIOAR,163.7,23.5,-0.59760274,880.43,1691.62,25.0335,6.53,56,2.38,90
BARC,2022,1,111,10/21/2021,2,15,16,LAMAM,VERPG,STEME,80.19,VICVI,VIOAR,VERPG,154.8,16.4,-0.719178082,880.43,1691.62,25.0335,6.53,56,2.38,15
BARC,2022,1,112,10/21/2022,2,30,30,VERPG,LAMAM,VICVI,81.05,VICVI,ANTCO,STEME,177.1,43.9,-0.248287671,880.43,1691.62,25.0335,6.53,56,2.38,30
BARC,2022,1,113,11/10/2021,3,15,7,LAMAM,VERPG,na,31.25,CAPBP,VERPG,VIOAR,125.5,34.1,-0.490284006,594.16,1405.35,10.971,6.91,76,1.52,15
BARC,2022,1,114,11/10/2021,3,30,11,VERPG,LAMAM,na,49.17,VICVI,VERPG,na,104.2,44.9,-0.328849028,594.16,1405.35,10.971,6.91,76,1.52,30
BARC,2022,1,115,11/10/2021,3,0,0,LAMAM,VERPG,unknown,34.32,VICVI,CAPBP,VERPG,0,66.9,0,594.16,1405.35,10.971,6.91,76,1.52,0
