site,year,block,plot,pd,pd_fac,plant_win,row_spacing_in,row_spacing_cm,effective_quad_size_m2,effective_quad_to_m2_multiplier,rye_kg_adj_to_row_spacing,weed_kg,live_seeds_lb,seedlings_expected_ft,seedlings_exp_per_quad,row_m,seedling_percent_error,rate_lbs,seedling_n,seedling_m2,canopy_cover,rye_g,weed_g,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,rate.adj.equal.years,RRI_weeds
BARC,2022,1,101,oct4,1,0,7.5,19.05,0.28575,3.499562555,0,4292,13014.47,0,0,21.245,na,0,0,0,64.96,0,107.3,1327.16,2138.35,13.901,6.58,63,2.38,0,0
BARC,2022,1,102,oct4,1,0,7.5,19.05,0.28575,3.499562555,5410.32371,2204,13014.47,2.800979253,13.78327018,21.245,-5.682760121,15,13,52,69.04,154.6,55.1,1327.16,2138.35,13.901,6.58,63,2.38,15,0.321428571
BARC,2022,1,103,oct4,1,0,7.5,19.05,0.28575,3.499562555,9732.283465,960,13014.47,5.601958506,27.56654036,21.245,-23.82069087,30,21,84,83.18,278.1,24,1327.16,2138.35,13.901,6.58,63,2.38,30,0.634424981
BARC,2022,1,104,oct4,1,0,7.5,19.05,0.28575,3.499562555,6526.684164,832,13014.47,11.20391701,55.13308072,21.245,-29.26207009,60,39,156,73.92,186.5,20.8,1327.16,2138.35,13.901,6.58,63,2.38,60,0.675253708
BARC,2022,1,105,oct4,1,0,7.5,19.05,0.28575,3.499562555,6173.228346,524,13014.47,16.80587552,82.69962109,21.245,-33.49425393,90,55,220,64.23,176.4,13.1,1327.16,2138.35,13.901,6.58,63,2.38,90,0.782392027
BARC,2022,1,106,oct4,1,0,7.5,19.05,0.28575,3.499562555,5305.336833,1396,13014.47,22.40783402,110.2661614,21.245,-32.88965624,120,74,296,47.3,151.6,34.9,1327.16,2138.35,13.901,6.58,63,2.38,120,0.509142053
BARC,2022,2,213,oct4,1,17,7.5,19.05,0.28575,3.499562555,3930.008749,820,13014.47,5.601958506,27.56654036,21.245,-34.70344931,30,18,72,50.48,112.3,20.5,1327.16,2138.35,13.901,6.58,63,2.38,30,0.570230608
BARC,2022,2,214,oct4,1,17,7.5,19.05,0.28575,3.499562555,8549.431321,58.8,13014.47,16.80587552,82.69962109,21.245,-12.93793242,90,72,288,66.74,244.3,1.47,1327.16,2138.35,13.901,6.58,63,2.38,90,0.961503208
BARC,2022,2,215,oct4,1,17,7.5,19.05,0.28575,3.499562555,0,2996,13014.47,0,0,21.245,na,0,0,0,51.98,0,74.9,1327.16,2138.35,13.901,6.58,63,2.38,0,0
BARC,2022,2,216,oct4,1,17,7.5,19.05,0.28575,3.499562555,8237.970254,22.8,13014.47,11.20391701,55.13308072,21.245,-31.07586317,60,38,152,68.01,235.4,0.57,1327.16,2138.35,13.901,6.58,63,2.38,60,0.98489466
