site,year,block,plot,pd,pd_fac,plant_win,row_spacing_in,row_spacing_cm,effective_quad_size_m2,effective_quad_to_m2_multiplier,rye_kg_adj_to_row_spacing,weed_kg,live_seeds_lb,seedlings_expected_ft,seedlings_exp_per_quad,row_m,seedling_percent_error,rate_lbs,seedling_n,seedling_m2,canopy_cover,rye_g,weed_g,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,rate.adj.equal.years,RRI_weeds,RCI_weeds_grace
BARC,2022,1,101,4-Oct,1,0,7.5,19.05,0.28575,3.49956256,0,4292,13014.47,0,0,21.245,na,0,0,0,64.96,0,107.3,1327.16,2138.35,13.901,6.58,63,2.38,0,0,0
BARC,2022,1,107,21-Oct,2,0,7.5,19.05,0.28575,3.49956256,0,2336,13014.47,0,0,21.245,na,0,0,0,45.63,0,58.4,880.43,1691.62,25.0335,6.53,56,2.38,0,0,0
BARC,2022,1,115,10-Nov,3,0,7.5,19.05,0.28575,3.49956256,0,2676,13014.47,0,0,21.245,na,0,0,0,34.32,0,66.9,594.16,1405.35,10.971,6.91,76,1.52,0,0,0
BARC,2022,2,203,21-Oct,2,17,7.5,19.05,0.28575,3.49956256,0,2412,13014.47,0,0,21.245,na,0,0,0,42.38,0,60.3,880.43,1691.62,25.0335,6.53,56,2.38,0,0,0
BARC,2022,2,207,10-Nov,3,17,7.5,19.05,0.28575,3.49956256,0,1008,13014.47,0,0,21.245,na,0,0,0,13.77,0,25.2,594.16,1405.35,10.971,6.91,76,1.52,0,0,0
BARC,2022,2,215,4-Oct,1,17,7.5,19.05,0.28575,3.49956256,0,2996,13014.47,0,0,21.245,na,0,0,0,51.98,0,74.9,1327.16,2138.35,13.901,6.58,63,2.38,0,0,0
BARC,2022,3,305,10-Nov,3,37,7.5,19.05,0.28575,3.49956256,0,5956,13014.47,0,0,21.245,na,0,0,0,64.24,0,148.9,594.16,1405.35,10.971,6.91,76,1.52,0,0,0
BARC,2022,3,308,4-Oct,1,37,7.5,19.05,0.28575,3.49956256,0,4524,13014.47,0,0,21.245,na,0,0,0,61.07,0,113.1,1327.16,2138.35,13.901,6.58,63,2.38,0,0,0
BARC,2022,3,316,21-Oct,2,37,7.5,19.05,0.28575,3.49956256,0,3552,13014.47,0,0,21.245,na,0,0,0,49.38,0,88.8,880.43,1691.62,25.0335,6.53,56,2.38,0,0,0
CT,2023,1,3,9/29/2022,1,0,7.5,19.05,0.28575,3.49956256,0,128,15073.9,0,0,21.245,na,0,0,0,0.2,0,3.2,925.08,1493.7,15.8,6.23,87,3.86,0,0,0
