year,site,pd,d,e,ed90,se,rmse,yend
2022,barc,1,7208,16,36,13,4228.582,6447.275096
2022,barc,2,7475,7,15,11,4491.397,6603.260338
2022,barc,3,4820,23,53,50,3443.448,4339.373685
2023,ct,1,4009,13,30,14,2520.281,3601.621281
2023,ct,2,4615,35,82,35,2497.281,4165.799713
2023,ct,3,8834,208,479,960,2511.202,7952.104535
2022,de,1,3526,10,22,6,1753.937,3137.5916
2022,de,2,2516,6,12,8,1499.406,2200.815257
2022,de,3,2042,10,25,13,1562.602,1872.695647
2023,de,1,2643,10,25,6,1575.272,2440.934697
2023,de,2,1892,16,45,13,1375.22,1771.598253
2023,de,3,1143,43,90,48,1284.326,999.9642612
2022,ma,1,6575,19,45,19,2796.011,5948.551418
2022,ma,2,4857,10,23,15,2458.014,4362.826711
2022,ma,3,3411,39,91,95,2250.873,3078.252528
2023,ma,1,5976,6,13,9,3772.461,5324.784862
2023,ma,2,13493,1,328,19,4128.235,13493
2023,ma,3,2395,28223000000000,65000000000000,23,3385.061,2155.61997
2022,ny,1,5219,22,51,14,2796.011,4699.689484
2022,ny,2,3625,16,38,15,2458.014,3285.649137
2022,ny,3,2314,17,39,21,2250.873,2081.239651
2023,ny,1,6654,15,35,7,2796.011,6004.155271
2023,ny,2,4044,9,20,9,2458.014,3619.103701
2023,ny,3,3257,12,27,13,2250.873,2916.620284
2022,pa,1,5466,32,74,17,2714.768,4917.269671
2022,pa,2,4399,16,37,12,1963.639,3968.896841
2022,pa,3,2928,16,37,18,2207.702,2631.229404
2023,pa,1,5497,15,35,11,1149.056,4955.311506
2023,pa,2,5450,19,44,17,1401.736,4925.947463
2023,pa,3,3781,23,54,19,811.6944,3416.008437
2023,umd,1,5730,7,15,na,883.702,5102.984783
2023,umd,2,6741,1,1,23,2752.038,3457.012839
2023,umd,3,6166,15,36,8,2659.341,5591.113321
2022,vt,1,7641,15,34,15,4367.09,6860.477347
2022,vt,2,6091,22,51,19,3276.905,5499.372838
2022,vt,3,4883,47,108,53,3449.868,4394.621041
2023,vt,1,14614,9,22,8,4367.09,13312.88132
2023,vt,2,12286,10,24,7,3276.905,11188.61464
2023,vt,3,9790,16,36,14,3449.868,8762.941433
