year,site,pd,d,se.d,p.d,e,se.e,p.e,ed90,se.ed90,ci.lwr,ci.upr
2022,pa,2,4.56E+01,21.433,0.038481,1.04E+02,8.11E+01,0.207672,238.55,186.72,-137.08,614.18
2022,pa,3,1.12E+03,19720,0.954913,1.01E+04,1.79E+05,0.955079,23344.94,412223.39,-805941.56,852631.43
2022,pa,1,4.26E+01,5.6217,1.07E-09,5.14E+01,1.60E+01,0.002336,118.38,36.78,44.39,192.38
2023,pa,2,31.6017,5.5576,7.53E-07,48.778,19.4526,0.015594,112.316,44.791,22.257,202.375
2023,pa,1,39.2554,5.0512,4.88E-10,47.8369,13.8418,0.001157,110.149,31.872,46.066,174.231
2023,pa,3,41.2233,172.0886,0.811702,290.7279,1435.6092,0.840373,669.426,3305.612,-5976.953,7315.805
2022,ny,3,24.5364,2.5191,7.44E-13,19.5811,7.6153,0.013357,45.0871,17.535,9.8113,80.3629
2022,ny,1,63.3993,2.7334,2.20E-16,19.9503,3.3542,3.23E-07,45.9373,7.7233,30.3999,61.4746
2022,ny,2,34.9865,3.4143,1.45E-13,28.8659,9.8474,0.005198,66.4662,22.6745,20.851,112.0814
2023,ny,1,68.2356,3.2155,2.20E-16,12.513,3.1433,0.0002316,28.8123,7.2376,14.26,43.3645
2023,ny,3,41.0831,3.4383,4.95E-16,16.7086,5.9375,0.0070708,38.473,13.6715,10.9845,65.9614
2023,ny,2,45.7289,3.1711,2.20E-16,14.7693,4.4385,0.0016874,34.0076,10.2199,13.4591,54.5561
2023,ma,1,57.66412,2.21426,2.20E-16,0.34182,10,0.97287,0.78706,23.02585,-45.50952,47.08364
2023,ma,3,14.19526,2.83156,7.71E-06,23.49675,9.13234,0.01323,54.10326,21.02798,11.82367,96.38285
2023,ma,2,67.10171,4.83712,2.20E-16,46.17306,7.42302,1.15E-07,106.31741,17.09213,71.95137,140.68344
2022,vt,1,45.1051,1.9061,2.20E-16,18.1897,3.4409,1.51E-06,41.8834,7.923,26.0647,57.7022
2022,vt,2,68.1287,22.9584,0.004179,139.1878,69.0731,0.047973,320.4918,159.0466,2.9449,638.0386
2022,vt,3,7.8886,33.4289,0.814178,179.7056,1030.2507,0.862062,413.7875,2372.2399,-4322.5423,5150.1172
2023,vt,1,86.4439,2.299,2.20E-16,9.0889,1.6323,5.09E-07,20.9281,3.7586,13.4238,28.4323
2023,vt,2,70.2144,2.7153,2.20E-16,17.3842,2.6986,1.57E-08,40.0286,6.2137,27.6225,52.4346
2023,vt,3,47.2339,8.8215,1.17E-06,61.6887,23.0922,0.009504,142.0434,53.1718,35.8825,248.2044
2022,de,1,30.0575,1.9684,2.20E-16,9.2303,3.007,0.003109,21.2535,6.9238,7.4297,35.0773
2022,de,3,20.5587,2.1027,1.85E-14,10.5523,6.1513,0.090953,24.2975,14.1639,-3.9816,52.5765
2022,de,2,19.9844,1.9815,5.35E-15,8.317,4.7487,0.084516,19.1507,10.9343,-2.6803,40.9817
2023,de,1,19.611,2.366,3.26E-08,1.368,54.465,0.9802,3.1499,125.4113,-256.9371,263.237
2023,de,2,13.8394,2.2041,3.16E-06,12.7408,9.1575,0.1787,29.337,21.086,-14.514,73.187
2022,barc,1,68.3308,7.3038,2.14E-12,6.8111,7.0457,0.3385,15.6832,16.2233,-16.936,48.3024
2022,barc,2,80.6302,7.8473,1.04E-13,9.3111,6.4745,0.1569,21.4397,14.908,-8.5349,51.4143
2022,barc,3,53.1203,10.2799,4.55E-06,19.9489,17.4241,0.2579,45.9339,40.1206,-34.7339,126.6018
2023,umd,1,45.4062,2.9975,2.20E-16,12.8702,3.9351,0.00209,29.6348,9.0609,11.3737,47.8958
2023,umd,2,48.4904,5.7297,8.81E-11,35.6484,11.5444,0.003484,82.0834,26.582,28.511,135.6558
2023,umd,3,74.0732,34.6545,0.038154,116.7703,82.7178,0.16508,268.8735,190.4647,-114.983,652.73
2023,ct,1,2.45E+01,2.46E+00,4.66E-13,1.60E+01,6.62E+00,0.0196469,3.69E+01,1.52E+01,6.17E+00,6.75E+01
2023,ct,2,2.38E+01,6.14E+00,0.0003344,5.09E+01,2.89E+01,0.0842578,1.17E+02,6.64E+01,-1.65E+01,2.51E+02
2023,ct,3,1.39E+03,2.17E+04,0.9494246,1.12E+04,1.76E+05,0.949328,2.59E+04,4.05E+05,-7.90E+05,8.42E+05
